id,name,instrument,category
wt001,Descenting Dreams.adv,Wavetable,Ambient & Evolving
wt002,Drifting Ambient Pad.adv,Wavetable,Ambient & Evolving
wt003,Echoic Chamber.adv,Wavetable,Ambient & Evolving
wt004,Embellish The Dead Zone.adv,Wavetable,Ambient & Evolving
wt005,Flux Capacitor.adv,Wavetable,Ambient & Evolving
wt006,Grungey Ambient Pad.adv,Wavetable,Ambient & Evolving
wt007,Kitchen Sync.adv,Wavetable,Ambient & Evolving
wt008,Martian Ham Radio.adv,Wavetable,Ambient & Evolving
wt009,Prehistoric VHS.adv,Wavetable,Ambient & Evolving
wt010,Release Yourself.adv,Wavetable,Ambient & Evolving
wt011,Spacefolder.adv,Wavetable,Ambient & Evolving
wt012,Spacey Ambient Pad.adv,Wavetable,Ambient & Evolving
wt013,Symphonialgorithmic.adv,Wavetable,Ambient & Evolving
wt014,The Reveal.adv,Wavetable,Ambient & Evolving
wt015,Tones From Nowhere.adv,Wavetable,Ambient & Evolving
wt016,Van Der Graaf.adv,Wavetable,Ambient & Evolving
wt017,Venus Doppler.adv,Wavetable,Ambient & Evolving
wt018,Abdominal Bass.adv,Wavetable,Bass
wt019,Altered Harmonic Bass.adv,Wavetable,Bass
wt020,Amber Low Glow.adv,Wavetable,Bass
wt021,Battery Acid.adv,Wavetable,Bass
wt022,Before The Plunge.adv,Wavetable,Bass
wt023,Bob's Place Bass.adv,Wavetable,Bass
wt024,Calculated Bass.adv,Wavetable,Bass
wt025,Crossover Syn Bass.adv,Wavetable,Bass
wt026,Effing Bass.adv,Wavetable,Bass
wt027,Epilogue Bass.adv,Wavetable,Bass
wt028,Forceful Ambition.adv,Wavetable,Bass
wt029,Fragile.adv,Wavetable,Bass
wt030,Golden Growl.adv,Wavetable,Bass
wt031,Grande Bass.adv,Wavetable,Bass
wt032,Granite Face.adv,Wavetable,Bass
wt033,Granite Shard.adv,Wavetable,Bass
wt034,Hello Nueman.adv,Wavetable,Bass
wt035,Hot Wobble.adv,Wavetable,Bass
wt036,Jupiter Plus Bass.adv,Wavetable,Bass
wt037,Mad Farfisa.adv,Wavetable,Bass
wt038,Mechanix Bass.adv,Wavetable,Bass
wt039,Midnight Chase Bass.adv,Wavetable,Bass
wt040,Mini Flashlite.adv,Wavetable,Bass
wt041,Model D Solo.adv,Wavetable,Bass
wt042,Model HU Bass.adv,Wavetable,Bass
wt043,Mono Wah Wave.adv,Wavetable,Bass
wt044,Nasal Petroleum.adv,Wavetable,Bass
wt045,Particle Breakup.adv,Wavetable,Bass
wt046,Pendulum.adv,Wavetable,Bass
wt047,Poison Pen.adv,Wavetable,Bass
wt048,Post Bass.adv,Wavetable,Bass
wt049,Rawkus Wobble.adv,Wavetable,Bass
wt050,Shockwave Bass.adv,Wavetable,Bass
wt051,Slider Deep Bass.adv,Wavetable,Bass
wt052,Sub Terrain.adv,Wavetable,Bass
wt053,Super Sub Drone Bass.adv,Wavetable,Bass
wt054,Table Bass.adv,Wavetable,Bass
wt055,The Hunter.adv,Wavetable,Bass
wt056,Tunnel Vision.adv,Wavetable,Bass
wt057,Unison Phase Bass.adv,Wavetable,Bass
wt058,Unstraight.adv,Wavetable,Bass
wt059,Upward Flight.adv,Wavetable,Bass
wt060,Warp Drive D.adv,Wavetable,Bass
wt061,Wowble Bass.adv,Wavetable,Bass
wt062,Yah Yah Mah.adv,Wavetable,Bass
wt063,Zardoz.adv,Wavetable,Bass
wt064,Alphalog Brass.adv,Wavetable,Brass
wt065,Brutal Quad Saw.adv,Wavetable,Brass
wt066,Flyte Time Brass.adv,Wavetable,Brass
wt067,Matrix Horns.adv,Wavetable,Brass
wt068,Poly 60 Saw.adv,Wavetable,Brass
wt069,Poly Pressure Saw.adv,Wavetable,Brass
wt070,Poly Saw.adv,Wavetable,Brass
wt071,Vox Brass.adv,Wavetable,Brass
wt072,Wave Sync Brass.adv,Wavetable,Brass
wt073,Airplane Wave.adv,Wavetable,Effects
wt074,Alien Cesarian.adv,Wavetable,Effects
wt075,Cletterling.adv,Wavetable,Effects
wt076,Darknet.adv,Wavetable,Effects
wt077,Digi Race.adv,Wavetable,Effects
wt078,Enjoy the Show FX.adv,Wavetable,Effects
wt079,Ghostly Mirror.adv,Wavetable,Effects
wt080,Head Trip.adv,Wavetable,Effects
wt081,Kick Drum FuzzJump.adv,Wavetable,Effects
wt082,Riser Section 8.adv,Wavetable,Effects
wt083,Riser Windup Light.adv,Wavetable,Effects
wt084,Robert's Theorem.adv,Wavetable,Effects
wt085,Rubbery Flick.adv,Wavetable,Effects
wt086,Scan Thru.adv,Wavetable,Effects
wt087,Sky Spy.adv,Wavetable,Effects
wt088,Target Acquired.adv,Wavetable,Effects
wt089,The Day The Earth Shrunk.adv,Wavetable,Effects
wt090,Top Quark.adv,Wavetable,Effects
wt091,Turntable Brake.adv,Wavetable,Effects
wt092,Wait For It.adv,Wavetable,Effects
wt093,Warehouse Shivers.adv,Wavetable,Effects
wt094,Arpeggiate Me.adv,Wavetable,Guitar & Plucked
wt095,Banjorific.adv,Wavetable,Guitar & Plucked
wt096,Eastern Dream Pluck.adv,Wavetable,Guitar & Plucked
wt097,Glocken Pluck.adv,Wavetable,Guitar & Plucked
wt098,Pianositar.adv,Wavetable,Guitar & Plucked
wt099,Pizza To Go.adv,Wavetable,Guitar & Plucked
wt100,Velo-Rezzo Plucks.adv,Wavetable,Guitar & Plucked
wt101,A Brief History of Chime.adv,Wavetable,Mallets
wt102,Ambient Element.adv,Wavetable,Mallets
wt103,Bell Degrees.adv,Wavetable,Mallets
wt104,Bell Prelude.adv,Wavetable,Mallets
wt105,Crockhausen.adv,Wavetable,Mallets
wt106,Fizz Bells.adv,Wavetable,Mallets
wt107,Flexibell.adv,Wavetable,Mallets
wt108,Frantasia.adv,Wavetable,Mallets
wt109,Glinting Echoes.adv,Wavetable,Mallets
wt110,Hang Drum Festival.adv,Wavetable,Mallets
wt111,Talk Talk Bells.adv,Wavetable,Mallets
wt112,Toy Marimba.adv,Wavetable,Mallets
wt113,Bunker Kick.adv,Wavetable,Percussive
wt114,Fluffy zap.adv,Wavetable,Percussive
wt115,Kicky Tom.adv,Wavetable,Percussive
wt116,Specific Hat.adv,Wavetable,Percussive
wt117,Throb Kick.adv,Wavetable,Percussive
wt118,Tom Yum.adv,Wavetable,Percussive
wt119,Tronic Snare.adv,Wavetable,Percussive
wt120,Turgid Kick.adv,Wavetable,Percussive
wt121,FM Piano Detuned.adv,Wavetable,Piano & Keys
wt122,Organ Nylon Drawbars.adv,Wavetable,Piano & Keys
wt123,Organ Retro Harmonic.adv,Wavetable,Piano & Keys
wt124,12 CC's and Counting.adv,Wavetable,Synth Keys
wt125,A Degree Of Synth.adv,Wavetable,Synth Keys
wt126,A Soft Chord.adv,Wavetable,Synth Keys
wt127,Aaghra Keys.adv,Wavetable,Synth Keys
wt128,Asure Skies.adv,Wavetable,Synth Keys
wt129,Change The Table Keys.adv,Wavetable,Synth Keys
wt130,Classic Analog Clavinette.adv,Wavetable,Synth Keys
wt131,Classic JX Wave.adv,Wavetable,Synth Keys
wt132,Classic Juno Wave.adv,Wavetable,Synth Keys
wt133,Crystal Labyrinth Keys.adv,Wavetable,Synth Keys
wt134,Detuney Sustained Keys.adv,Wavetable,Synth Keys
wt135,Dulcimore Keys.adv,Wavetable,Synth Keys
wt136,Eastern Fifth.adv,Wavetable,Synth Keys
wt137,GGP.adv,Wavetable,Synth Keys
wt138,Glowing Filaments.adv,Wavetable,Synth Keys
wt139,Gold Keys.adv,Wavetable,Synth Keys
wt140,Haunted Minutes.adv,Wavetable,Synth Keys
wt141,Helium Blockade.adv,Wavetable,Synth Keys
wt142,Here Kitty Kitty.adv,Wavetable,Synth Keys
wt143,Juno Multi Wave.adv,Wavetable,Synth Keys
wt144,Juno Organ Wave.adv,Wavetable,Synth Keys
wt145,Lush Roads.adv,Wavetable,Synth Keys
wt146,Moonscape Piano.adv,Wavetable,Synth Keys
wt147,Munster Funk.adv,Wavetable,Synth Keys
wt148,Noize of Art Flute.adv,Wavetable,Synth Keys
wt149,Oklahoma Corral.adv,Wavetable,Synth Keys
wt150,Pizza Go-Go.adv,Wavetable,Synth Keys
wt151,Poly Filter Pulse.adv,Wavetable,Synth Keys
wt152,Poly Filter Saw.adv,Wavetable,Synth Keys
wt153,Poly Juno Square.adv,Wavetable,Synth Keys
wt154,Poly Pulse Blend.adv,Wavetable,Synth Keys
wt155,Poly Sweep Saw.adv,Wavetable,Synth Keys
wt156,Poly Sync.adv,Wavetable,Synth Keys
wt157,Position Glass.adv,Wavetable,Synth Keys
wt158,Saucery.adv,Wavetable,Synth Keys
wt159,Sentient Shadows.adv,Wavetable,Synth Keys
wt160,Silver Keys.adv,Wavetable,Synth Keys
wt161,Solar Flare.adv,Wavetable,Synth Keys
wt162,Tear Tear.adv,Wavetable,Synth Keys
wt163,Tell Me Sumthin' Clav.adv,Wavetable,Synth Keys
wt164,VOSM.adv,Wavetable,Synth Keys
wt165,Velocity Keys.adv,Wavetable,Synth Keys
wt166,Wide Room Pad.adv,Wavetable,Synth Keys
wt167,37th Street.adv,Wavetable,Synth Lead
wt168,A Thick Wave.adv,Wavetable,Synth Lead
wt169,After Fade.adv,Wavetable,Synth Lead
wt170,Air Flute Magnus.adv,Wavetable,Synth Lead
