id,name,instrument,category
anr001,Badass Lead.adg,Analog,Synth Lead
anr002,Basic Analog Bass.adg,Analog,Bass
anr003,Basic Saturated Bass.adg,Analog,Bass
anr004,Basic Saturated Bass.adg,Analog,Bass
anr005,Basic Silk Horns.adg,Analog,Brass
anr006,Canadian Keys.adg,Analog,Synth Keys
anr007,Chord Analog Brass-1.adg,Analog,Brass
anr008,Complex Rotor Lead.adg,Analog,Synth Lead
anr009,Fat Leather Bass.adg,Analog,Bass
anr010,Fuzzy Analog Keys.adg,Analog,Synth Keys
anr011,M Tron Strings.adg,Analog,Strings
anr012,Off World Strings.adg,Analog,Strings
anr013,Poly Synth Brass.adg,Analog,Brass
anr014,Sencha Arp.adg,Analog,Synth Rhythmic
anr015,Spacious Synth Choir.adg,Analog,Strings
anr016,Thermal Runway Bass.adg,Analog,Bass
anr017,Uplift Strings Arp.adg,Analog,Synth Rhythmic
anr018,Vintage Saw Keys.adg,Analog,Synth Keys
