id,name,instrument,category
opr001,Basic Brushed Bells.adg,Operator,Mallets
opr002,Basic FM Bells.adg,Operator,Mallets
opr003,Basic Fanatik Bass.adg,Operator,Bass
opr004,Basic Fine Line Bass.adg,Operator,Bass
opr005,Basic Mello Bass.adg,Operator,Bass
opr006,Basic Metallic Noise Pluck.adg,Operator,Plucked
opr007,Basic Particles Keys.adg,Operator,Synth Keys
opr008,Basic Pluck Keys.adg,Operator,Synth Keys
opr009,Basic Sine Drive Lead.adg,Operator,Synth Lead
opr010,Basic Sine Keys.adg,Operator,Synth Keys
opr011,Basic Smores Lead.adg,Operator,Synth Lead
opr012,Basic Sub Sine.adg,Operator,Bass
opr013,Basic Synth Brass.adg,Operator,Brass
opr014,Basic Wash Bass.adg,Operator,Bass
opr015,Block Minor Brass-1.adg,Operator,Brass
opr016,Burned Bass.adg,Operator,Bass
opr017,Celestial Pad.adg,Operator,Pad
opr018,Chimes and Bow Pad.adg,Operator,Pad
opr019,Chord Minor Pluck.adg,Operator,Plucked
opr020,Chord Minor to Major.adg,Operator,Synth Keys
opr021,Chord Pacific Pad.adg,Operator,Pad
opr022,Chord Rotaviolin.adg,Operator,Synth Keys
opr023,Complex Amp Pad.adg,Operator,Pad
opr024,Digi Noise Choir.adg,Operator,Pad
opr025,Disto-Pluck [CTI - 010921].adg,Operator,Synth Lead
opr026,Dusky Swells Synth Brass.adg,Operator,Brass
opr027,E-Piano Straight.adg,Operator,Piano & Keys
opr028,FM Deep Bass.adg,Operator,Bass
opr029,FM Piano Bright Tines.adg,Operator,Piano & Keys
opr030,FM Pluck Guitar.adg,Operator,Plucked
opr031,Floomery Pluck.adg,Operator,Plucked
opr032,Flutter Pad.adg,Operator,Pad
opr033,Formaggio Lead.adg,Operator,Synth Lead
opr034,Growler.adg,Operator,Synth Lead
opr035,L11 Malleable Spectroscopy - Operator Mallet (NP).adg,Operator,Mallets
opr036,MB - DOUBLE TAKE KEYS - JH [CTI - 121720].adg,Operator,Synth Keys
opr037,Miami Pluck.adg,Operator,Plucked
opr038,Mindfulness.adg,Operator,Evolving
opr039,Mod Amp Sine Bleep.adg,Operator,Plucked
opr040,Neptune Arp.adg,Operator,Synth Rhythmic
opr041,Obelisk Bells.adg,Operator,Mallets
opr042,Optimo Time Bass.adg,Operator,Bass
opr043,Organ Funky.adg,Operator,Piano & Keys
opr044,Outland Bells.adg,Operator,Mallets
opr045,Reese Odysssey.adg,Operator,Bass
opr046,Shy LoFi Keys.adg,Operator,Synth Keys
opr047,Snow Peaks Arp.adg,Operator,Synth Rhythmic
opr048,Sogawni Split Arp.adg,Operator,Synth Rhythmic
opr049,Subtle Look Pluck.adg,Operator,Plucked
opr050,Suburban Keys.adg,Operator,Synth Keys
opr051,Vapor Games Arp.adg,Operator,Synth Rhythmic
opr052,Wah Organ.adg,Operator,Synth Keys
opr053,Womb Bass.adg,Operator,Bass
