id,name,instrument,category
wtr001,ASMR Cave Texture.adg,Wavetable,Evolving
wtr002,Abilene Winter Pad.adg,Wavetable,Pad
wtr003,Abyss Keys.adg,Wavetable,Synth Keys
wtr004,Analog Emulation Keys.adg,Wavetable,Synth Keys
wtr005,Ashburn Funk Keys.adg,Wavetable,Synth Keys
wtr006,Basic 303 Bass.adg,Wavetable,Bass
wtr007,Basic Analog Chime.adg,Wavetable,Mallets
wtr008,Basic Bell Keys.adg,Wavetable,Synth Keys
wtr009,Basic Bells.adg,Wavetable,Mallets
wtr010,Basic Brass Pad.adg,Wavetable,Pad
wtr011,Basic Digi Pad.adg,Wavetable,Pad
wtr012,Basic Electronic Keys.adg,Wavetable,Synth Keys
wtr013,Basic FM House Bass.adg,Wavetable,Bass
wtr014,Basic Glide Lead.adg,Wavetable,Synth Lead
wtr015,Basic Harp Arp.adg,Wavetable,Synth Rhythmic
wtr016,Basic Organ Bass.adg,Wavetable,Bass
wtr017,Basic Peak Lead.adg,Wavetable,Synth Lead
wtr018,Basic Radar Pluck.adg,Wavetable,Plucked
wtr019,Basic Reese Bass.adg,Wavetable,Bass
wtr020,Basic Retro Arp.adg,Wavetable,Synth Rhythmic
wtr021,Basic Retro Lead.adg,Wavetable,Synth Lead
wtr022,Basic Signal Arp.adg,Wavetable,Synth Rhythmic
wtr023,Basic Teared Down Keys.adg,Wavetable,Synth Keys
wtr024,Basic Trigger Bass.adg,Wavetable,Bass
wtr025,Basic Vintage Pluck.adg,Wavetable,Plucked
wtr026,Basic Wind Lead.adg,Wavetable,Synth Lead
wtr027,Bell and Swell.adg,Wavetable,Mallets
wtr028,Bottle Blower.adg,Wavetable,Synth Lead
wtr029,Boxed Pad.adg,Wavetable,Pad
wtr030,Cars In The 80s Keys.adg,Wavetable,Synth Keys
wtr031,Cathedral Keys.adg,Wavetable,Synth Keys
wtr032,Cave Talkers Pad.adg,Wavetable,Pad
wtr033,Chord Afterfade.adg,Wavetable,Synth Keys
wtr034,Chord Anthem Pad.adg,Wavetable,Pad
wtr035,Chord Det Keys.adg,Wavetable,Synth Keys
wtr036,Chord Dub Keys.adg,Wavetable,Synth Keys
wtr037,Chord Eno Pad.adg,Wavetable,Pad
wtr038,Chord Molecule Pulse.adg,Wavetable,Synth Rhythmic
wtr039,Chord Vintage Lead.adg,Wavetable,Synth Lead
wtr040,Clav Variations.adg,Wavetable,Piano & Keys
wtr041,Cloud Cover Arp.adg,Wavetable,Synth Rhythmic
wtr042,Complex Cletter Bass.adg,Wavetable,Bass
wtr043,Complex Grunge Bass.adg,Wavetable,Bass
wtr044,Complex Gut Kicked Bass.adg,Wavetable,Bass
wtr045,Complex Morphed Keys.adg,Wavetable,Synth Keys
wtr046,Complex Neurologist Bass.adg,Wavetable,Bass
wtr047,Complex Reese Bass.adg,Wavetable,Bass
wtr048,Complex Zipper FX.adg,Wavetable,Effects
wtr049,Contact Keys.adg,Wavetable,Synth Keys
wtr050,Covalent Theorem Pad.adg,Wavetable,Pad
wtr051,Crazy Pluck Bass [CTI - 011320].adg,Wavetable,Bass
wtr052,Cruiser Strings.adg,Wavetable,Strings
wtr053,Cycle Chimes.adg,Wavetable,Mallets
wtr054,Dark Sky Keys.adg,Wavetable,Synth Keys
wtr055,Dark Swarm.adg,Wavetable,Evolving
wtr056,Dead City FX.adg,Wavetable,Effects
wtr057,Digital Whisper Pulse.adg,Wavetable,Synth Rhythmic
wtr058,Dojo Sky Pad.adg,Wavetable,Pad
wtr059,Downwards Retro Arp.adg,Wavetable,Synth Rhythmic
wtr060,Drubb Stabs.adg,Wavetable,Plucked
wtr061,Duality Brass.adg,Wavetable,Brass
wtr062,E-Piano Light.adg,Wavetable,Piano & Keys
wtr063,ENCOM Riser.adg,Wavetable,Effects
wtr064,Echo Moved Pad.adg,Wavetable,Pad
wtr065,Eurythmical Arp.adg,Wavetable,Synth Rhythmic
wtr066,FM Cassini Pad.adg,Wavetable,Pad
wtr067,FM Piano Classic.adg,Wavetable,Piano & Keys
wtr068,Fake Phone.adg,Wavetable,Mallets
wtr069,Fat Square Bass.adg,Wavetable,Bass
wtr070,Fear Gong.adg,Wavetable,Mallets
wtr071,Felixian Pluck Arp.adg,Wavetable,Synth Rhythmic
wtr072,Floppy Disc Lead.adg,Wavetable,Synth Lead
wtr073,Glowstick SFX.adg,Wavetable,Effects
wtr074,Harsh Computer Bass.adg,Wavetable,Bass
wtr075,Hit Slide Pad.adg,Wavetable,Pad
wtr076,Hyaline Mentality Keys.adg,Wavetable,Synth Keys
wtr077,Hyper Riser.adg,Wavetable,Effects
wtr078,Interplanetary Trip Pad.adg,Wavetable,Evolving
wtr079,Island Bells.adg,Wavetable,Mallets
wtr080,Koleko Plux Keys.adg,Wavetable,Synth Keys
wtr081,Kyoto Pluck.adg,Wavetable,Plucked
wtr082,Lab Ambient.adg,Wavetable,Evolving
wtr083,MPE Airy Pad & Sub.adg,Wavetable,Pad
wtr084,MPE Alder Waldgeist.adg,Wavetable,Effects
wtr085,MPE Bower Close.adg,Wavetable,Evolving
wtr086,MPE Evil Underneath.adg,Wavetable,Synth Keys
wtr087,MPE FM Land.adg,Wavetable,Synth Keys
wtr088,MPE Gravity.adg,Wavetable,Pad
wtr089,MPE Her Desher Bass.adg,Wavetable,Bass
wtr090,MPE Mahogany Rose Organ.adg,Wavetable,Synth Keys
wtr091,MPE Metallic Keys.adg,Wavetable,Synth Rhythmic
wtr092,MPE Monomorph.adg,Wavetable,Synth Keys
wtr093,MPE Objectivism Drone.adg,Wavetable,Evolving
wtr094,MPE Polypulse Pressure.adg,Wavetable,Synth Rhythmic
wtr095,MPE Sine Pressure.adg,Wavetable,Synth Keys
wtr096,MPE Slide Pluck FM.adg,Wavetable,Plucked
wtr097,MPE Slide Swarmer.adg,Wavetable,Effects
wtr098,MPE Smeary Plucks.adg,Wavetable,Plucked
wtr099,MPE Source Bass.adg,Wavetable,Bass
wtr100,MPE Spieluhr.adg,Wavetable,Synth Rhythmic
wtr101,MPE Thunder Drum.adg,Wavetable,Effects
wtr102,MPE Velocity Grain.adg,Wavetable,Synth Keys
wtr103,MPE Velvet Robe.adg,Wavetable,Pad
wtr104,Magnetic Strings.adg,Wavetable,Strings
wtr105,Moving Pictures Pad.adg,Wavetable,Pad
wtr106,Nature Lead.adg,Wavetable,Synth Lead
wtr107,Neuro Pulse Bass.adg,Wavetable,Synth Rhythmic
wtr108,Ominous Thud.adg,Wavetable,Bass
wtr109,Orbit Mallets.adg,Wavetable,Mallets
wtr110,Organ Angry.adg,Wavetable,Piano & Keys
wtr111,Organ House.adg,Wavetable,Piano & Keys
wtr112,Organ Mutations.adg,Wavetable,Synth Keys
wtr113,Organ Plus Synth.adg,Wavetable,Piano & Keys
wtr114,Organ Rough.adg,Wavetable,Piano & Keys
wtr115,Organ Transistor Series.adg,Wavetable,Piano & Keys
